Desire-Expression-Sentence,Prior-Context,Post-Context,Fulfillment-Label,Fulfillment-Agreement-Score,Evidence,Evidence-Overlap-Score,Desire-Verbal-Pattern
"He obviously wanted to make more changes to the design, but once I explained why I wanted it, he was cool with keeping it as close as possible.","So, I got a tattoo to match one that Robert had: I went at 50 Sunday night. The tattoo artist bill was cool.","He took about a half an hour to ""tighten it up"". I got mine on my back instead of the arm, because I wanted Joker to have my back as always. Here is the stencil: Here he is getting started: It wasn't as bad as I thought it would be, less than a bad zit, but it does accumulate on you. It was pretty bad here, since I had just passed out. I had to take a bit to collect myself before we could go again.",Unfulfilled,2,"I got mine on my back He obviously wanted to make more changes to the design, but once I explained why I wanted it, he was cool with keeping it as close as possible. He obviously wanted to make more changes to the design, but once I explained why I wanted it, he was cool with keeping it as close as possible. ",2,wanted to
"I wanted to hold her in my arms, laying on the back of that car, leaning against the back window and staring into the night sky, hoping that somewhere else underneath is she's sleeping peacefully and somehow in some way I know that part of me is there with her protecting her and loving her always.","I swear to god she's the only person I can do that with. I laid there thinking about how unenjoyable the stars were because she wasn't there next to me looking at them. I love her so much. She's my light. I laid there whistling the tune that had been stuck in my head, making me think about her and I was sad that she wasn't there hearing me whistle the tune to her.",I love her.,Unfulfilled,2,I laid there thinking about how unenjoyable the stars were because she wasn't there next to me looking at them. I laid there thinking about how unenjoyable the stars were because she wasn't there next to me looking at them. ,2,wanted to
"X_x and I said Tohoshinki, because I wanted to tell them some artists they might now.","Yesteday, when I was waiting for lysalie28 at the station I went inside a department store and ""accidently"" found the corner with Korean wave magazines (music, drama photobooks, etc... ) I saw this 2 older ladies I guess they were about 50~60 years old... Who were also looking at the magazines. Well, I guess they noticed how exited I was (lol), so they asked me if I was interested in Korea, where I was from, why I came to Japan, who my favorite singer is, etc...","Q_Q... I should have said KANGTA goddamit!! Anyway, then one of them asked me, if I knew Kim BOM soo, and when I told here that I never heared of him... she was so shocked haha and took a CD his 2nd album And said I should listen to track 5 since its her fav one!.__. After they left, I recognized that the CD was stil sealed, so she must have bought it some time ago >_<; eek~ they really were so super friendly!",None,0,I said Tohoshinki I should have said KANGTA goddamit!! I should have said KANGTA goddamit!! ,2,wanted to
"I really did mean it when I said in my last post that I wanted to reconnect with SL, it's just that RL has decided to interfere even more than it typically does.","Okay, let's give this whole getting-back-into-Second-Life thing another shot, shall we?","My family had planned a weekend trip down south to see my extended family for the first time in over a year; while there, my grandmother passed away, and we decided to stay for the funeral. So, needless to say, I've been gone longer than expected, and haven't been around SL. But I'm back, starting now. Last night I spent a few hours reconnecting with Lanna in-world, which ranked right up there next to ""sleeping in my own bed"" on the list of things I was looking forward to doing when I returned home. Over the next few days, I will try slip back into my SL groove, spend some time thinking about where to take the blog, and recommitting myself to becoming part of the resident community again.",Fulfilled,2,"Last night I spent a few hours reconnecting with Lanna in-world, which ranked right up there next to ""sleeping in my own bed"" on the list of things I was looking forward to doing when I returned home. ""Last night I spent a few hours reconnecting with Lanna in-world, which ranked right up there next to """"sleeping in my own bed"""" on the list of things I was looking forward to doing when I returned home."" ",0,wanted to
"First we stopped at the lavender centre, after all I am from the lavender County and I wanted to check the UK version... no proper lavender oil but some beetroot wine and cute frogs to purchase.","Having decided getting sand in the face the day before was just not enough, I still had that obscure idea to go to the beach after all it is August! So on Sunday on one of those typical weather seaside (grey, windy and cold) Simonsatori took me to Hunstanton in Norfolk.",Hunstanton has the biggest joke shop in Britain and so many tempting tacky Halloween stuffs... we were in there for a while. Finally we made it to the beach but being in the wash... the sea was miles and miles away... Blue sky and hot water... But did we go in? See photos,Fulfilled,3,"we stopped at the lavender centre First we stopped at the lavender centre, First we stopped at the lavender centre, ",3,wanted to
"I really wanted to paint with my plein air group today, but just couldn't take another day in the sun so I set up in the shade of the visitor center at Sibley Volcanic regional Park in Oakland where we were to meet at 2:00 for our group critique.","Sibley Volcanic Park: View from visitors Center, oil on panel, 12x9 Ok, it wasn't really in the dark, but I was in deep shade and could barely tell what colors I was mixing. Yesterday I went to an outdoor even in the blinding sun and 105 degree heat and came home with a migraine.","Bicyclists and hikers stopped by all afternoon to eat lunch in the shade, get water, or use the restrooms. Two hardcore women cyclists spent their entire lunch discussing in great detail their recent fruit purchases. Another woman cyclist in full cycling gear told her cycling buddy that her ex-husband married her ex-best friend. So she started dating that woman's ex-husband. But when her ex-husband and ex-best friend divorced, she and former best friend fell in love and recently got married thanks to California's same sex marriage law.",Unfulfilled,3,"I really wanted to paint with my plein air group today, but just couldn't take another day in the sun but just couldn't take another day in the sun so I set up in the shade of the visitor center at Sibley Volcanic regional Park in Oakland but just couldn't take another day in the sun so I set up in the shade of the visitor center at Sibley Volcanic regional Park in Oakland ",2,wanted to
I also wanted to be a psychologist.,"Okay, I confess, a crappy month at work and the cynic in me takes the wheel (and drives around bitching about the traffic). But today is a new month and I was thinking more about Randy Pausch and his list of childhood dreams (all but one accomplished) and my list which just pointed out that I'm a frustrated artist trapped in the corporate world. But there are things that I wanted to do as a child that I have accomplished, though not in the same straight-line way as Randy. For instance, I loved reading National Geographic and wanted to travel in the wilderness and live the outdoor life.","When I was 30, I spent a year doing wilderness expeditions with disruptive adolescents. It was one of the most amazing times of my life and a perfect combination of those two childhood dreams. We spent 3 weeks in the high-desert of South-central Idaho with each group of kids, teaching them how to live off the land, make fire without matches, navigate with topographical maps, and be self-sufficient, while leading them through a brief curriculum designed to stimulate their self-analysis. It's amazing the effect such training has on the self-esteem of a bored and rebellious teenager. Or on the self-esteem of a bored and frustrated 30 year old.",None,0,"When I was 30, I spent a year doing wilderness expeditions with disruptive adolescents. It was one of the most amazing times of my life and a perfect combination of those two childhood dreams. ",2,wanted to
"Needless to say, none of that actually happened I had no last minute cancellations of clients or people kicking up a stink because they wanted to go on the trip and couldn't, the bus was on time, we got loaded up in record time because I started bugging people to go to the bathroom 15 minutes early, we got there and our table was ready, I proposed my food idea (since the portions are rather large and seniors don't eat much, I decided we'd order a bunch of chicken souvlaki and some pork souvlaki which came with Greek salad and I chose potatoes as the side and then we just divvied them up among us) and everyone agreed and it all went well and everyone enjoyed it.","So I've been planning an outing for clients this past week, scheduled for today. We went to Mr. Greek for lunch after morning program. Last night I had this dream that we were out for lunch and the menu at the place had changed (or I was in the wrong place) and they had nothing but chicken on the menu (one of my clients [my favourite one, if you must know] doesn't eat chicken) and the service was terrible and some people got their food at some point, but the rest of us hadn't even gotten our orders taken and it was 1:15 and the bus was coming at 10 and it was a big disaster.","My other worry was the bill because not knowing exactly what people would want, I wasn't sure how much it would come to and I did some worst case scenario planning in my head beforehand so I'd have some idea of what we'd end up charging the clients. It's okay if it's expensive... it's just that we do an activity fee on their bill that is the amount they need to pay for any outings. Generally we like to keep it to $10 or less, and I was worried that if it ended up being more than that (since we also have to pay the transportation to get there) I would get complaints. But with my food plan, including an extra salad and tea and coffee for some people, the total was just under $90 (before tip but after tax).",Fulfilled,3,everyone agreed and it all went well and everyone enjoyed it everyone agreed and it all went well and everyone enjoyed it everyone agreed and it all went well and everyone enjoyed it ,0,wanted to
I felt so betrayed because of it and wanted to just quit it and leave the house.,"He had his pride though, always making sure we never heard of what he did or who he dealt with. He went from job to job, always stealing always troublesome but still keeping that pride and still keeping his demenor little did I know at the time however, that he was ""dealing hard"" and ""was on some other shit"" as gansters would say. On day, my father died of what was at the time, a heart attack caused from too many sleepting pills because of an accident but as I grew up, I was told that my father was actually on a drug run for a quick 800 dollars because he again spent the rent money on beer... where he died in a resturant with crack laced on his lips. The police never seen anything that killed him but since he was a colored person, they probabl didnt care. He was a nobody and I didnt know he was like that.",Another trial was the fact that a dispute happend between my sister and her teacher. Her teacher slightly nudged her in her bottom with his foot and my step-father went ahead and sent a email to the princapal of the school.,Unknown from the context,3,None,2,wanted to
Last thing I expected was for Kristen telling me about this guy with gorgeous blue eyes she wanted to date that had a friend that we could go on a double date with...,"So then I kept on with the convo and what pops out of my mouth? Well if it wasnt for dating Evan I may never have dated tubby. She was like wat? How do u figure... When I first met Tubbs I had told him I was a lesbian... when he saw that I was dating Evan, he made a point of mentioning it to me... and I sheepishly smiled as he told me it was ok, that when I dumped Evan he was gonna be next...","I was like hmm ok... there he was... Out of the 4.6 billion+ people in the world I could have met, I can honestly say I met the one I wanted to spend the rest of my life with... he's influenced me in so many ways and changed my perspective on life... I was truly happy with him... and he kept me strong because when I was with him, he made all of our problems seem like nothing... that as long as we had each other everything else was just a bump on our very long and happy road...",Unknown from the context,2,"I was like hmm ok... there he was... Out of the 4.6 billion+ people in the world I could have met, I can honestly say I met the one I wanted to spend the rest of my life with... ",0,wanted to
I sat there thinking about how much I didnt want to go to school and how much I wished to be switched to a different science class.,I woke up at 6:10 am.,Two minutes later I recieve a call from cousin. She tells me how much she dosent want to go to school because her new junior high sucks. We laugh together and then tell her I need another ten minutes of sleep sp we say goodbye and I will call you later. My cousin and I are that close. So I got up and went downstairs to take a shower.,Unknown from the context,3,None,2,wished to
It also didn't help that the chorus kept banging on drums and shit and I wanted to tell them to shut up and that Othello kept stumbling over his lines.,"We had a test in bio lecture today, and it was easier than I expected, so I'm kind of feeling like I don't really need to study for my lab practical that's in a little more than an hour. Unfortunately the practical is on different material, so I don't think this is a logical thought process. Carla and I went to see Othello at the VA Shakespeare Festival yesterday. We were both really excited about it, but were pretty disappointed. It was set in post-Apartheid South Africa, which is not an absolutely terrible idea for Othello but in this case it didn't work.","We went outside during intermission weighing our feelings: Oh-dear-God-there's-still-an-hour-and-a-half-of-this vs. I-feel-bad-for-leaving. While we were debating, we ran into Lisa (Johanson) and Mikey (G-something, who works in the ticket office at Ferguson), and then Jordan (McArthur) turned up. They were like, ""Yeah... we don't know if we're going to stay... "" And then we were standing around talking about the things we didn't like and decided that VSF should have set their entire season (Othello, the taming of the shrew, and the complete history of America, abridged in South Africa). And then Jordan was like, ""Fuck it let's just go to the outlets"" to Lisa.",Unknown from the context,3,None,2,wanted to
"But hey, life comes at you fast apparently this morning I found myself in an argument with Emma - now 4 - about the length of the dress she wished to wear.",I didn't see this coming for a while longer yet - and even then more likely with the older of my two daughters.,"I sat staunchly on the bed brandishing the dress in one hand and a pair of shorts in the other; the shorts to go under the dress to maintain a father's idea of proper dignity - the exact length of dignity being listed in the father's almanac of course. Emma stood in front of me on one foot and then the other - because she was stamping by this point - yelling ""I'm not going to show my undies!"" Before this point, the situation had already been complicated by my initial misunderstanding of her outburst. I thought she was afraid that she _would_ show her undies (ah, the wishful thinking of a naive father), hence my chivalrous move to grab a pair of shorts. Turns out, no, she was quite adamant she could take care of any ""undie showing"" all by herself thankyou very much.",Unknown from the context,3,None,2,wished to
"For most of my childhood I felt happy to be and stay a kid and never wished to be any older, to the extent that I sometimes dreaded getting older and wished I could always stay young.","Did anyone else watch the ch9 movie today, suddenly 30? I've seen it before, but I couldn't get anyone to go with me to the movies tonight so I watched it again. Firstly, it made me think about when I was 13 - I didn't do any of the things those 13yr olds did, although part of the reason may have been that I was never allowed to socialise outside of school or have friends over except for my birthday parties (which is probably why I like to have a party every yr... ). I never felt the need to wear mid-drift-revealing clothing or stuff tissues down my top (although I didnt really need the tissues, since those areas started growing on their own at 10yrs of age), nor did I ever dance to songs on the radio or video clips on TV (I didnt really know any songs back then). I don't know if I was really slow to grow up, or if I just missed something along the way.","The second thing the movie made me think about just how old I really am - I'm 21, and what have I done with my life? contrary to the end of the previous paragraph, once nearing the end of high school I had accepted that I was going to grow up regardless of how much I didn't want to, and instead started looking forward to going to uni and starting the rest of my life. I always hated all that waiting that went on between not being a kid anymore and becoming a fully-grown fully-competent adult, and I thought that things would dramatically change once I hit uni. Then I thought things would change when I started dating. Then I thought it would be when I moved out of home (although I only moved into my grandma's house, which has similarities to a home, but it was still a big step). Now I'm wondering if life will ever change - I always thought that by 21 I would already be on the path to a career I had decided on, and I'd have a group of friends I regularly keep in contact with and go out with and be able to talk to when I need to, I'd be able to drive places (which would certainly help with the previous statement), I would have found someone to love that also loved me, I would have sorted out my emotional problems, live in my own place where I didnt have anyone to answer to when late home...",Unfulfilled,3,"I'm 21, The second thing the movie made me think about just how old I really am - I'm 21 The second thing the movie made me think about just how old I really am - I'm 21 ",2,wished to
"I realize now that while I was having fun the past few years toking up, I always thought that one day soon I'd have to put the pipe down and actually be an adult, as much as I wished to avoid that.","This made me quite happy, now knowing that the people who were basically the first new friends I had made since moving to this side of the country now enjoy the same things as I. I had kept my greenage usage pretty quiet from them, as since they were getting a larger family and I figured that they would be moving on from that, as all I knew was what my parents did which was pretty much nothing. Yeah, I grew up sheltered . But ever since I started hanging out with them again, and have several times in the past few weeks, reality has started to hit. Hard.","But lately, expecially the way things are going at work, and how I've finally started to get things in order, it has come to my attention that I am an adult, no matter how much I don't really feel like one. The only real basis I have on being an adult is what I learned from my own parents, and maybe a little bit from other family or their friends (which was basically just like them), and I gotta tell ya, there lives seemed very, very boring. And I always knew that it was not what I wanted.",Unfulfilled,2,"it has come to my attention that I am an adult This made me quite happy, now knowing that the people who were basically the first new friends I had made since moving to this side of the country now enjoy the same things as I. I had kept my greenage usage pretty quiet from them, as since they were getting a larger family and I figured that they would be moving on from that, as all I knew was what my parents did which was pretty much nothing. This made me quite happy, now knowing that the people who were basically the first new friends I had made since moving to this side of the country now enjoy the same things as I. I had kept my greenage usage pretty quiet from them, as since they were getting a larger family and I figured that they would be moving on from that, as all I knew was what my parents did which was pretty much nothing. ",2,wished to
I started to film something which I wanted to input into my computer to see how it looked.,"The idea came when I was watching videos on youtube. However, I did not only want to show a clip of me playing the guitar. I had some ideas and had a basic picture of how my vlog should look in my head as well as some scribbles on paper. When I finally got the camera, I immediately wanted to start filming. And I did.",This was when the first problems occurred. Problem number one: connection.,Unknown from the context,2,Problem number one: connection Problem number one: connection ,0,wanted to
"We were chilling, waiting for Erika and Amanda, when Erika comes up with five guys becaue her boyfriend will wanted to come but didn't want to hang out with a bunch of girls.","Where do I start with this weekend? I enjoyed it, at least, because these problems are more my own. It's not a general family thing, no one's dead, it's just me having the bad day. And that seems like a nice break for everyone. We went to old Forge Friday, hung out, had a decent enough time, just her, me, and Nikki.","No problem, whatever, I can be friendly. Will was a nice enough guy, and Rocco was even mildly funny, but it became a very different beast. Three of the guys took off to get 'stuff', and we sort of sat around, chilled, talked, ordered a pizza, Dan was the delivery boy, we invited him in. He had a couple beers then left because he had to work in the morning. It's like as soon as Dan left sh*t started going down.",Fulfilled,3,"Will was a nice enough guy, and Rocco was even mildly funny we sort of sat around, chilled, talked, ordered a pizza, Dan was the delivery boy we sort of sat around, chilled, talked, ordered a pizza, Dan was the delivery boy ",2,wanted to
I remember an overwhelming sense of God's love in my heart and realized that I wanted to accept him as my savior.,I became a Christian when I was twelve years of age. I remember distinctly of hearing a message on how much Christ loved me and that he died for my sins.,"There was a large man sitting at the end of the pew that I was sitting on. I thought, ""If that man would move out of my way, I'd go forward and accept him today."" I must have impressed the man because about that time he stepped out into the aisle and made my way clear. I made my way down front and told bro. Babb that I wanted to accept Christ.",Fulfilled,3,I made my way down front and told bro. Babb that I wanted to accept Christ. I made my way down front and told bro. Babb that I wanted to accept Christ. I made my way down front and told bro. Babb that I wanted to accept Christ. ,2,wanted to
Babb that I wanted to accept Christ.,"I remember an overwhelming sense of God's love in my heart and realized that I wanted to accept him as my savior. There was a large man sitting at the end of the pew that I was sitting on. I thought, ""If that man would move out of my way, I'd go forward and accept him today."" I must have impressed the man because about that time he stepped out into the aisle and made my way clear. I made my way down front and told bro.",I have not always been what I ought to be for him but I have never doubted that he saved me. My surrendering my life for a closer walk with him came when I was twenty eight years of age. I almost had a nervous breakdown and felt so alone.,Fulfilled,3,I have not always been what I ought to be for him but I have never doubted that he saved me. My surrendering my life for a closer walk with him My surrendering my life for a closer walk with him ,0,wanted to
But then I came to college and started posting pictures and typing about my life and my college friends wanted to see but no one had livejournal.,"I never write in here anymore, what's wrong with me?? Well, I actually think I know why. A long time ago [see: High school (not that long ago)] I had my journal friends Only which means access was only permitted to those who not only had a livejournal account but were on my 'friends list.' which was fine because all my close friends in high school (and then some) had livejournal accounts.","Then when I put the link in my info I realized it was a great way to stay in touch and keep people informed about my life, if they wanted to know. It was not a big deal and has never been A big deal because I'm extremely open about my life, feelings, thoughts, etc. But as I grow up and face different challenges and experience new things and thoughts, it's becoming annoying. I am envious of those on my friends list who write about everything because their journals are not public. And don't worry, I don't have any major secrets or shocking news only random things that are on my mind would be nice to ramble about on here.",Fulfilled,2,Then when I put the link in my info when I put the link in my info I realized it was a great way to stay in touch and keep people informed about my life when I put the link in my info I realized it was a great way to stay in touch and keep people informed about my life ,0,wanted to
I still wanted to sit at the orchestra.,"1. Cinderella Lea Salonga is full of awesomeness. It's possible to wish for the impossible. I thought I won't be able to watch Cinderella because of the ridiculous prices (7k for friggin center orchestra seats?!), but the magical world is so good, the other seats were affordable enough.","Less expensive seats or never get to see Lea on stage? It was a deal, I chose the less expensive seats. We got good seats anyway. I was fidgety until the play started. My insides were soo excited, I kept on checking dad's watch to see if it was 8 pm.",Unfulfilled,3,I chose the less expensive seats I chose the less expensive seats I chose the less expensive seats ,2,wanted to
"But there are things that I wanted to do as a child that I have accomplished, though not in the same straight-line way as Randy.","Okay, I confess, a crappy month at work and the cynic in me takes the wheel (and drives around bitching about the traffic). But today is a new month and I was thinking more about Randy Pausch and his list of childhood dreams (all but one accomplished) and my list which just pointed out that I'm a frustrated artist trapped in the corporate world.","For instance, I loved reading National Geographic and wanted to travel in the wilderness and live the outdoor life. I also wanted to be a psychologist. When I was 30, I spent a year doing wilderness expeditions with disruptive adolescents. It was one of the most amazing times of my life and a perfect combination of those two childhood dreams. We spent 3 weeks in the high-desert of South-central Idaho with each group of kids, teaching them how to live off the land, make fire without matches, navigate with topographical maps, and be self-sufficient, while leading them through a brief curriculum designed to stimulate their self-analysis.",Fulfilled,3,"I have accomplished, We spent 3 weeks in the high-desert of South-central Idaho with each group of kids, teaching them how to live off the land, make fire without matches, navigate with topographical maps, and be self-sufficient, while leading them through a brief curriculum designed to stimulate their self-analysis. We spent 3 weeks in the high-desert of South-central Idaho with each group of kids, teaching them how to live off the land, make fire without matches, navigate with topographical maps, and be self-sufficient, while leading them through a brief curriculum designed to stimulate their self-analysis. ",2,wanted to
Lots of carnival food I wanted to eat and awesome stands selling cool shit I want but can't afford.,"Let's recount: Friday night, I can't remember what we did. Um. Oh, we went to check the street fair out. That was pretty freaking sweet. It was like a baby boatnik, or fish fry.",I got krysti and I some incense. And some agate slices. Because they were magical. Once I picked them up I could not put them down.,Fulfilled,2,I got krysti and I some incense. And some agate slices I got krysti and I some incense. I got krysti and I some incense. ,2,wanted to
"From that day onwards, I knew I never wanted to lose her.","I said goodbye to one of my best friends ever, Amalina. She was really special to me, someone whom I thought would last with me all throughout JC. She was the only one who understood me so well, and I hid nothing from her. I still recall the times we had, especially during OBS. We cried like never before and it was just such a special moment for me.","But I did. Soon after, the worst thing this year happened to me. But thankfully, it brought me Avril and Rachel.",Unfulfilled,3,But I did. But I did. But I did. ,2,wanted to
I wanted to get going and didn't have much patience.,Then we grabbed the bug and headed back to soldiers Field. The amount of activity going on there was incredible. There were red shirts as far as the eye could see. We wandered around the stadium for a couple hours waiting and waiting for the race to start. Cheryl was substantially calmer than I was.,They started lining us up in the corral based on our anticipated pace time. Starting at sub 8 minute miles back to 12 minute miles.,Unknown from the context,3,None,2,wanted to
I wanted to mail postcards to my neices.,"Yesterday while checking out my banking situation (pay check cleared, money from Minneapolis didn't) I saw I could buy stamps. I was super pumped because I had realized the post office would be closed by the time I got there.","I needed 2 stamps... I read the screen but was super flustered and stuff and didn't really pay attention. I punched in 10 because that way I would have extra stamps. But since I'm an idiot and didn't read the screen I accidently bougt 10 sheets of stamps, so 180 stamps, or $73.80 in stamps. If I wasn't me I would probably be upset, but I deicded to just get pen pals and accept it happened.",Unknown from the context,2,I accidently bougt 10 sheets of stamps ,0,wanted to
